,TractFIPS,City
743,17031250400.0,Chicago
744,17031110501.0,Chicago
745,17031250300.0,Chicago
746,17031151100.0,Chicago
747,17031241400.0,Chicago
748,17031151200.0,Chicago
749,17031241600.0,Chicago
750,17031241500.0,Chicago
751,17031241100.0,Chicago
752,17031241300.0,Chicago
753,17031110400.0,Chicago
754,17031150600.0,Chicago
755,17031250200.0,Chicago
756,17031081401.0,Chicago
757,17031030104.0,Chicago
758,17031070101.0,Chicago
759,17031252201.0,Chicago
760,17031660302.0,Chicago
761,17031660301.0,Chicago
762,17031220701.0,Chicago
763,17031063302.0,Chicago
764,17031301803.0,Chicago
765,17031842600.0,Chicago
766,17031843400.0,Chicago
767,17031843200.0,Chicago
768,17031730202.0,Chicago
769,17031841900.0,Chicago
770,17031841200.0,Chicago
771,17031831900.0,Chicago
772,17031835800.0,Chicago
773,17031839500.0,Chicago
774,17031836900.0,Chicago
775,17031842300.0,Chicago
776,17031838800.0,Chicago
777,17031030101.0,Chicago
778,17031260800.0,Chicago
779,17031832600.0,Chicago
780,17031160300.0,Chicago
781,17031840000.0,Chicago
782,17031836100.0,Chicago
783,17031834300.0,Chicago
784,17031834400.0,Chicago
785,17031834500.0,Chicago
786,17031835900.0,Chicago
787,17031836000.0,Chicago
788,17031836200.0,Chicago
789,17031836300.0,Chicago
790,17031252102.0,Chicago
791,17031252202.0,Chicago
792,17031843600.0,Chicago
793,17031220602.0,Chicago
794,17031220901.0,Chicago
795,17031040401.0,Chicago
796,17031220601.0,Chicago
797,17031030601.0,Chicago
798,17031063303.0,Chicago
799,17031061902.0,Chicago
800,17031030706.0,Chicago
801,17031030102.0,Chicago
802,17031834600.0,Chicago
803,17031210602.0,Chicago
804,17031740300.0,Chicago
805,17031160100.0,Chicago
806,17031221500.0,Chicago
807,17031611400.0,Chicago
808,17031380100.0,Chicago
809,17031380200.0,Chicago
810,17031431200.0,Chicago
811,17031040600.0,Chicago
812,17031040700.0,Chicago
813,17031040800.0,Chicago
814,17031720200.0,Chicago
815,17031720300.0,Chicago
816,17031720700.0,Chicago
817,17031720400.0,Chicago
818,17031720500.0,Chicago
819,17031720600.0,Chicago
820,17031720100.0,Chicago
821,17031680900.0,Chicago
822,17031610300.0,Chicago
823,17031681000.0,Chicago
824,17031681100.0,Chicago
825,17031680500.0,Chicago
826,17031611300.0,Chicago
827,17031611100.0,Chicago
828,17031611900.0,Chicago
829,17031050100.0,Chicago
830,17031740100.0,Chicago
831,17031620300.0,Chicago
832,17031620200.0,Chicago
833,17031620400.0,Chicago
834,17031620100.0,Chicago
835,17031612000.0,Chicago
836,17031612100.0,Chicago
837,17031440300.0,Chicago
838,17031381400.0,Chicago
839,17031430400.0,Chicago
840,17031381200.0,Chicago
841,17031730600.0,Chicago
842,17031730400.0,Chicago
843,17031691200.0,Chicago
844,17031691100.0,Chicago
845,17031730100.0,Chicago
846,17031730300.0,Chicago
847,17031681200.0,Chicago
848,17031611500.0,Chicago
849,17031610800.0,Chicago
850,17031730500.0,Chicago
851,17031430500.0,Chicago
852,17031430900.0,Chicago
853,17031430600.0,Chicago
854,17031160900.0,Chicago
855,17031170100.0,Chicago
856,17031221600.0,Chicago
857,17031242100.0,Chicago
858,17031161000.0,Chicago
859,17031161200.0,Chicago
860,17031161300.0,Chicago
861,17031161100.0,Chicago
862,17031160800.0,Chicago
863,17031242000.0,Chicago
864,17031051400.0,Chicago
865,17031060100.0,Chicago
866,17031060800.0,Chicago
867,17031251000.0,Chicago
868,17031251100.0,Chicago
869,17031250700.0,Chicago
870,17031250800.0,Chicago
871,17031160700.0,Chicago
872,17031221300.0,Chicago
873,17031221400.0,Chicago
874,17031060300.0,Chicago
875,17031160200.0,Chicago
876,17031251200.0,Chicago
877,17031051300.0,Chicago
878,17031430800.0,Chicago
879,17031350100.0,Chicago
880,17031351000.0,Chicago
881,17031351400.0,Chicago
882,17031350400.0,Chicago
883,17031360200.0,Chicago
884,17031270500.0,Chicago
885,17031271300.0,Chicago
886,17031271200.0,Chicago
887,17031251300.0,Chicago
888,17031271400.0,Chicago
889,17031711200.0,Chicago
890,17031711100.0,Chicago
891,17031711300.0,Chicago
892,17031711500.0,Chicago
893,17031710900.0,Chicago
894,17031711000.0,Chicago
895,17031672000.0,Chicago
896,17031600900.0,Chicago
897,17031600700.0,Chicago
898,17031711400.0,Chicago
899,17031260700.0,Chicago
900,17031020301.0,Chicago
901,17031251400.0,Chicago
902,17031838000.0,Chicago
903,17031020302.0,Chicago
904,17031020902.0,Chicago
905,17031020601.0,Chicago
906,17031010701.0,Chicago
907,17031010503.0,Chicago
908,17031010702.0,Chicago
909,17031010502.0,Chicago
910,17031834200.0,Chicago
911,17031842200.0,Chicago
912,17031841000.0,Chicago
913,17031843900.0,Chicago
914,17031842500.0,Chicago
915,17031841800.0,Chicago
916,17031842800.0,Chicago
917,17031843800.0,Chicago
918,17031833000.0,Chicago
919,17031832200.0,Chicago
920,17031836700.0,Chicago
921,17031650302.0,Chicago
922,17031530502.0,Chicago
923,17031030701.0,Chicago
924,17031650301.0,Chicago
925,17031700301.0,Chicago
926,17031301702.0,Chicago
927,17031301801.0,Chicago
928,17031490901.0,Chicago
929,17031040402.0,Chicago
930,17031040201.0,Chicago
931,17031020702.0,Chicago
932,17031040202.0,Chicago
933,17031020801.0,Chicago
934,17031836600.0,Chicago
935,17031020802.0,Chicago
936,17031063301.0,Chicago
937,17031031501.0,Chicago
938,17031842400.0,Chicago
939,17031832100.0,Chicago
940,17031831400.0,Chicago
941,17031837000.0,Chicago
942,17031760803.0,Chicago
943,17031530501.0,Chicago
944,17031530503.0,Chicago
945,17031081201.0,Chicago
946,17031836800.0,Chicago
947,17031834900.0,Chicago
948,17031839600.0,Chicago
949,17031838300.0,Chicago
950,17031832500.0,Chicago
951,17031832000.0,Chicago
952,17031830900.0,Chicago
953,17031835200.0,Chicago
954,17031839700.0,Chicago
